Name,Address,City,Zip,URL,Latitude,Longitude
115th Street,203 West 115th Street,New York,10026,http://www.nypl.org/locations/115th-street,40.802893,-73.953591
125th Street,224	East 125th Street,New York,10035,http://www.nypl.org/locations/125th-street,40.803097,-73.93479
53rd Street,18	West 53rd Street,New York,10019,http://www.nypl.org/locations/53rd-street,40.760823,-73.97707
58th Street,127	East 58th Street,New York,10022,http://www.nypl.org/locations/58th-street,40.761957,-73.969108
67th Street,328	East 67th Street,New York,10065,http://www.nypl.org/locations/67th-street,40.765,-73.959488
96th Street,112	East 96th Street,New York,10128,http://www.nypl.org/locations/96th-street,40.786039,-73.951748
Aguilar,174	East 110th Street,New York,10029,http://www.nypl.org/locations/aguilar,40.794272,-73.943405
Allerton,2740	Barnes Avenue,Bronx,10467,http://www.nypl.org/locations/allerton,40.866832,-73.86333
Andrew Heiskell Braille and Talking Book,40	West 20th Street,New York,10011,http://www.nypl.org/locations/heiskell,40.740554,-73.993292
Battery Park City Library,175	North End Avenue,New York,10282,http://www.nypl.org/locations/battery-park-city,40.715536,-74.015851
Baychester,2049	Asch Loop North,Bronx,10475,http://www.nypl.org/locations/baychester,40.87082,-73.829212
Belmont Library and Enrico Fermi Cultural Center,610	East 186th Street,Bronx,10458,http://www.nypl.org/locations/belmont,40.854458,-73.887815
Bloomingdale,150	West 100th Street,New York,10025,http://www.nypl.org/locations/bloomingdale,40.796024,-73.967544
Bronx Library Center,310	East Kingsbridge Road,Bronx,10458,http://www.nypl.org/locations/bronx-library-center,40.862978,-73.894394
Castle Hill,947	Castle Hill Avenue,Bronx,10473,http://www.nypl.org/locations/castle-hill,40.826591,-73.850032
Chatham Square,33	East Broadway,New York,10002,http://www.nypl.org/locations/chatham-square,40.713416,-73.996501
City Island,320	City Island Avenue,Bronx,10464,http://www.nypl.org/locations/city-island,40.847792,-73.786529
Clason's Point,1215	Morrison Avenue,Bronx,10472,http://www.nypl.org/locations/clasons-point,40.830014,-73.874864
Columbus,742	10th Avenue,New York,10019,http://www.nypl.org/locations/columbus,40.764987,-73.991347
Countee Cullen,104	West 136th Street,New York,10030,http://www.nypl.org/locations/countee-cullen,40.814963,-73.941063
Dongan Hills,1617	Richmond Road,Staten Island,10304,http://www.nypl.org/locations/dongan-hills,40.590398,-74.10104
Eastchester,1385	East Gun Hill Road,Bronx,10469,http://www.nypl.org/locations/eastchester,40.870096,-73.845158
Edenwald,1255	East 233rd Street,Bronx,10466,http://www.nypl.org/locations/edenwald,40.888798,-73.840824
Epiphany,228	East 23rd Street,New York,10010,http://www.nypl.org/locations/epiphany,40.738166,-73.981974
Fort Washington,535	West 179th Street,New York,10033,http://www.nypl.org/locations/fort-washington,40.847786,-73.933921
Francis Martin,2150	University Avenue,Bronx,10453,http://www.nypl.org/locations/francis-martin,40.857489,-73.90934
George Bruce,518	West 125th Street,New York,10027,http://www.nypl.org/locations/george-bruce,40.813823,-73.956897
Grand Central,135	East 46th Street,New York,10017,http://www.nypl.org/locations/grand-central,40.753847,-73.973585
Grand Concourse,155	East 173rd Street,Bronx,10457,http://www.nypl.org/locations/grand-concourse,40.843904,-73.910025
Great Kills,56	Giffords Lane,Staten Island,10308,http://www.nypl.org/locations/great-kills,40.552441,-74.151023
Hamilton Fish Park,415	East Houston Street,New York,10002,http://www.nypl.org/locations/hamilton-fish-park,40.719894,-73.97935
Hamilton Grange,503	West 145th Street,New York,10031,http://www.nypl.org/locations/hamilton-grange,40.825596,-73.948085
Harlem,9	West 124th Street,New York,10027,http://www.nypl.org/locations/harlem,40.806127,-73.943405
High Bridge,78	West 168th Street,Bronx,10452,http://www.nypl.org/locations/high-bridge,40.838056,-73.923437
Hudson Park,66	Leroy Street,New York,10014,http://www.nypl.org/locations/hudson-park,40.730052,-74.005321
Huguenot Park,830	Huguenot Avenue,Staten Island,10312,http://www.nypl.org/locations/huguenot-park,40.534131,-74.193182
Hunts Point,877	Southern Boulevard,Bronx,10459,http://www.nypl.org/locations/hunts-point,40.818636,-73.894073
Inwood,4790	Broadway,New York,10034,http://www.nypl.org/locations/inwood,40.865603,-73.926786
Jefferson Market,425	Avenue of the Americas,New York,10011,http://www.nypl.org/locations/jefferson-market,40.734704,-73.998993
Jerome Park,118	Eames Place,Bronx,10468,http://www.nypl.org/locations/jerome-park,40.86915,-73.901166
Kingsbridge,291	West 231st Street,Bronx,10463,http://www.nypl.org/locations/kingsbridge,40.880674,-73.907842
Kips Bay,446	Third Avenue,New York,10016,http://www.nypl.org/locations/kips-bay,40.743788,-73.979777
Macomb's Bridge,2650	Adam Clayton Powell Jr. Boulevard,New York,10039,http://www.nypl.org/locations/macombs-bridge,40.82652,-73.935886
