Name,Address,URL,Latitude,Longitude
Tribeca,"255 Greenwich St, New York, NY 10007-2377",https://www.target.com/sl/tribeca/3229,40.714528,-74.011265
Manhattan Soho,"600 Broadway, New York City, NY 10012-3206",https://www.target.com/sl/manhattan-soho/3411,40.725581,-73.998078
Lower East Side Grand and Clinton,"400 Grand St, New York, NY 10002-3949",https://www.target.com/sl/lower-east-side-grand-and-clinton/3284,40.71612,-73.986799
Manhattan East Village,"500 E 14th St, New York, NY 10009-3336",https://www.target.com/sl/manhattan-east-village/3249,40.730212,-73.980294
Brooklyn Fulton St,"445 Albee Square West, Brooklyn, NY 11201-3016",https://www.target.com/sl/brooklyn-fulton-st/2850,40.691147,-73.983288
Atlantic Terminal,"139 Flatbush Ave, Brooklyn, NY 11217-1403",https://www.target.com/sl/atlantic-terminal/1849,40.684484,-73.977482
Kips Bay,"512 2nd Ave, New York, NY 10016-8604",https://www.target.com/sl/kips-bay/3321,40.741323,-73.97828
Manhattan Herald Square,"112 W 34th St, New York, NY 10120-0101",https://www.target.com/sl/manhattan-herald-square/3277,40.749991,-73.988654
Times Square 42nd Street,"237 W 42nd St, New York, NY 10036-7201",https://www.target.com/sl/times-square-42nd-street/3385,40.756837,-73.98844
Manhattan Hells Kitchen,"615 10th Ave, New York, NY 10036-3035",https://www.target.com/sl/manhattan-hells-kitchen/3268,40.761211,-73.994532
LIC Court Square,"25-01 Jackson Ave, Long Island City, NY 11101-5095",https://www.target.com/sl/lic-court-square/3433,40.746845,-73.944439
Upper West Side 61st and Broadway,"1863 Broadway, New York, NY 10023-7503",https://www.target.com/sl/upper-west-side-61st-and-broadway/3334,40.76983,-73.98227
Upper East Side 70th and 3rd,"1201 3rd Ave, New York, NY 10021-5401",https://www.target.com/sl/upper-east-side-70th-and-3rd/3312,40.768173,-73.961524
Brooklyn Flatbush and Church,"2101 Church Ave, Brooklyn, NY 11226-4363",https://www.target.com/sl/brooklyn-flatbush-and-church/3404,40.650405,-73.959303
Upper East Side 86th and Lex,"150 E 86th St, New York, NY 10028-2118",https://www.target.com/sl/upper-east-side-86th-and-lex/3387,40.779233,-73.955385
Upper West Side 98th and Columbus,"795 Columbus Ave, New York City, NY 10025-5920",https://www.target.com/sl/upper-west-side-98th-and-columbus/3394,40.794426,-73.96616
Brooklyn Junction,"1598 Flatbush Ave, Brooklyn, NY 11210-3036",https://www.target.com/sl/brooklyn-junction/2212,40.631354,-73.94636
Brooklyn Bensonhurst,"6401 18th Ave, Brooklyn, NY 11204-3730",https://www.target.com/sl/brooklyn-bensonhurst/3276,40.619469,-73.989639
